time_s,phase,events,east_m,north_m,altitude_m,east_velocity_mps,north_velocity_mps,vertical_velocity_mps,mach,aoa_deg,dynamic_pressure_pa,static_margin_calibers,wind_east_mps,wind_north_mps
0.009998,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.000000,9.06769991,0.000000,0.000000
0.219963,1,1,0.000000,0.000000,1.871460,0.000000,0.000000,19.163841,0.05319828,0.00000000,200.689331,9.21279150,0.000000,0.000000
0.479919,1,0,0.000000,0.000000,10.597778,0.000786,0.000000,46.831947,0.13457108,0.00007641,1282.921631,9.42344946,0.000000,0.000000
0.739876,1,0,0.000000,0.000000,26.335571,0.001123,0.000000,72.848749,0.21133077,0.00000448,3158.126831,9.62939060,0.000000,0.000000
0.999832,1,0,0.000000,0.000000,48.492188,0.001541,0.000000,96.218950,0.28043425,0.00001601,5546.797241,9.82503664,0.000000,0.000000
1.259789,1,0,0.000000,0.000000,76.256592,0.001907,0.000000,115.922871,0.33896983,0.00001323,8077.673340,10.00358683,0.000000,0.000000
1.519745,1,0,0.000000,0.000000,108.456421,0.002176,0.000000,130.221863,0.38186419,0.00000598,10212.483643,10.15146804,0.000000,0.000000
1.779701,1,0,0.000000,0.000000,143.580322,0.002365,0.000000,138.636206,0.40753859,0.00000149,11583.555542,10.26254195,0.000000,0.000000
2.039658,1,0,0.000000,0.000000,179.631836,0.002401,0.000000,137.469713,0.40522945,0.00000555,11403.523315,10.30525994,0.000000,0.000000
2.299614,1,0,0.000000,0.000000,214.683350,0.002359,0.000000,132.015440,0.38959932,0.00000982,10496.644775,10.31448156,0.000000,0.000000
2.329609,2,2,0.000000,0.000000,218.628418,0.002350,0.000000,131.276014,0.38745219,0.00000918,10376.354126,10.31455296,0.000000,0.000000
2.589615,2,0,0.000000,0.000000,251.873535,0.002275,0.000000,124.997025,0.36974216,0.00000171,9413.186890,10.31475109,0.000000,0.000000
2.849621,2,0,0.000000,0.000000,283.537598,0.002220,0.000000,119.079872,0.35235405,0.00000640,8516.502686,10.31475109,0.000000,0.000000
3.109627,2,0,0.000000,0.000000,313.709351,0.002171,0.000000,113.485952,0.33590913,0.00000470,7712.298218,10.31475109,0.000000,0.000000
3.369633,2,0,0.000000,0.000000,342.467773,0.002121,0.000000,108.181932,0.32031000,0.00000512,6988.570801,10.31475109,0.000000,0.000000
3.629639,2,0,0.000000,0.000000,369.884521,0.002071,0.000000,103.138779,0.30547196,0.00000640,6335.250244,10.31475109,0.000000,0.000000
3.889645,2,0,0.000000,0.000000,396.023315,0.002026,0.000000,98.331078,0.29132080,0.00000448,5743.824829,10.31475109,0.000000,0.000000
4.149651,2,0,0.000000,0.000000,420.942261,0.001976,0.000000,93.736477,0.27779138,0.00000235,5207.073975,10.31475109,0.000000,0.000000
4.409657,2,0,0.000000,0.000000,444.694214,0.001926,0.000000,89.335220,0.26482594,0.00000128,4718.824585,10.31475109,0.000000,0.000000
4.669662,2,0,0.000000,0.000000,467.326782,0.001877,0.000000,85.109776,0.25237340,0.00000384,4273.787598,10.31475109,0.000000,0.000000
4.929668,2,0,0.000000,0.000000,488.883545,0.001842,0.000000,81.044510,0.24038815,0.00000811,3867.401489,10.31475109,0.000000,0.000000
5.189674,2,0,0.000000,0.000000,509.403931,0.001797,0.000000,77.125441,0.22882950,0.00001409,3495.770508,10.31475109,0.000000,0.000000
5.449680,2,0,0.000000,0.000000,528.924194,0.001747,0.000000,73.339973,0.21766073,0.00001622,3155.473755,10.31475109,0.000000,0.000000
5.709686,2,0,0.000000,0.000000,547.477783,0.001698,0.000000,69.676783,0.20684868,0.00002028,2843.440186,10.31475109,0.000000,0.000000
5.969692,2,0,0.000000,0.000000,565.094482,0.001648,0.000000,66.125637,0.19636345,0.00002476,2557.065552,10.31475109,0.000000,0.000000
6.229698,2,0,0.000000,0.000000,581.802368,0.001598,0.000000,62.677237,0.18617809,0.00003116,2294.062500,10.31475109,0.000000,0.000000
6.489704,2,0,0.000000,0.000000,597.627197,0.001556,0.000000,59.323101,0.17626774,0.00004226,2052.420776,10.31475109,0.000000,0.000000
6.749710,2,0,0.000000,0.000000,612.592407,0.001532,0.000000,56.055494,0.16660988,0.00002711,1830.369019,10.31475109,0.000000,0.000000
7.009716,2,0,0.000000,0.000000,626.719238,0.001518,0.000000,52.867308,0.15718377,0.00003714,1626.343140,10.31475109,0.000000,0.000000
7.269722,2,0,0.000000,0.000000,640.027344,0.001518,0.000000,49.752001,0.14797044,0.00006126,1438.958130,10.31475109,0.000000,0.000000
7.529728,2,0,0.000000,0.000000,652.534912,0.001503,0.000000,46.703535,0.13895220,0.00000939,1266.985596,10.31475109,0.000000,0.000000
7.789734,2,0,0.000000,0.000000,664.258545,0.001478,0.000000,43.716312,0.13011277,0.00007214,1109.337402,10.31475109,0.000000,0.000000
8.049740,2,0,0.000000,0.000000,675.213379,0.001453,0.000000,40.785130,0.12143695,0.00010395,965.047363,10.31475109,0.000000,0.000000
8.309746,2,0,0.000000,0.000000,685.413696,0.001429,0.000000,37.905132,0.11291063,0.00007449,833.256592,10.31475109,0.000000,0.000000
8.569752,2,0,0.000000,0.000000,694.871704,0.001404,0.000000,35.071781,0.10452062,0.00006510,713.203491,10.31475109,0.000000,0.000000
8.829758,2,0,0.000000,0.000000,703.598999,0.001379,0.000000,32.280804,0.09625447,0.00007727,604.212524,10.31475109,0.000000,0.000000
9.089764,2,0,0.000000,0.000000,711.605957,0.001354,0.000000,29.528175,0.08810037,0.00011398,505.684692,10.31475109,0.000000,0.000000
9.349770,2,0,0.000000,0.000000,718.902344,0.001329,0.000000,26.810085,0.08004731,0.00018612,417.091431,10.31475109,0.000000,0.000000
