# KSA64 aligned calm (Up to date)
# 1558 data points written for 20 variables.
#
# [FlightDataType.FlightDataType.TYPE_TIME] (s),[FlightDataType.FlightDataType.TYPE_ALTITUDE] (m),[FlightDataType.FlightDataType.TYPE_POSITION_X] (m),[FlightDataType.FlightDataType.TYPE_POSITION_Y] (m),[FlightDataType.FlightDataType.TYPE_POSITION_XY] (m),[FlightDataType.FlightDataType.TYPE_VELOCITY_TOTAL] (m/s),[FlightDataType.FlightDataType.TYPE_ACCELERATION_TOTAL] (m/s²),[FlightDataType.FlightDataType.TYPE_MACH_NUMBER] (​),[FlightDataType.FlightDataType.TYPE_AOA] (rad),[FlightDataType.FlightDataType.TYPE_PITCH_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_YAW_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_MASS] (kg),[FlightDataType.FlightDataType.TYPE_CP_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_CG_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_STABILITY] (​),[FlightDataType.FlightDataType.TYPE_DRAG_COEFF] (​),[FlightDataType.FlightDataType.TYPE_THRUST_FORCE] (N),[FlightDataType.FlightDataType.TYPE_AIR_DENSITY] (kg/m³),[FlightDataType.FlightDataType.TYPE_WIND_VELOCITY] (m/s),[FlightDataType.FlightDataType.TYPE_TIME_STEP] (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,2.578407473,NaN,1.044454726,NaN,3.357995143,0,1.224999463,0,0.002
0.002,0,0,0,0,0,0,0,0,0,0,2.578194654,NaN,1.044399963,NaN,3.357995143,11.696636364,1.224999463,0,0.002
0.004,0,0,0,0,0,0,0,0,0,0,2.577981834,NaN,1.044345191,NaN,3.357995143,23.393272727,1.224999463,0,0.002
0.006,0.000002068,0,0,0,0.003341596,3.820333682,0.000009817,0,0,0,2.577769015,NaN,1.044290409,NaN,3.357992751,35.089909091,1.224999463,0,0.002
0.008,0.000019418,0,0,0,0.01552114,8.359335452,0.000045598,0.00000016,0,0,2.577556196,NaN,1.044235617,NaN,3.358025666,46.786545455,1.224999461,0,0.002
0.01,0.000070205,0,0,0,0.036779436,12.899084983,0.000108051,0.000000244,0,0,2.577343376,NaN,1.044180815,NaN,3.35805522,58.483181818,1.224999455,0,0.002
0.012,0.000172589,0,0,0,0.067117977,17.439580047,0.00019718,0.000000329,0,0,2.577130557,NaN,1.044126004,NaN,3.358082766,70.179818182,1.224999444,0,0.002
0.014,0.000344732,0,0,0,0.106538253,21.980819476,0.00031299,0.000000414,0,0,2.576917738,NaN,1.044071183,NaN,3.061106255,81.876454545,1.224999424,0,0.002
0.016,0.000604798,0,0,0,0.15504175,26.522801676,0.000455484,0.000000499,0,0,2.576704919,NaN,1.044016352,NaN,2.7563243,93.573090909,1.224999394,0,0.002
0.018,0.000970955,0,0,0,0.212629953,31.065523629,0.000624668,0.000000585,0,0,2.576492099,NaN,1.043961511,NaN,2.539729248,105.269727273,1.224999353,0,0.002
