# KSA64 aligned steady 5 m/s (Up to date)
# 1552 data points written for 20 variables.
#
# [FlightDataType.FlightDataType.TYPE_TIME] (s),[FlightDataType.FlightDataType.TYPE_ALTITUDE] (m),[FlightDataType.FlightDataType.TYPE_POSITION_X] (m),[FlightDataType.FlightDataType.TYPE_POSITION_Y] (m),[FlightDataType.FlightDataType.TYPE_POSITION_XY] (m),[FlightDataType.FlightDataType.TYPE_VELOCITY_TOTAL] (m/s),[FlightDataType.FlightDataType.TYPE_ACCELERATION_TOTAL] (m/s²),[FlightDataType.FlightDataType.TYPE_MACH_NUMBER] (​),[FlightDataType.FlightDataType.TYPE_AOA] (rad),[FlightDataType.FlightDataType.TYPE_PITCH_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_YAW_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_MASS] (kg),[FlightDataType.FlightDataType.TYPE_CP_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_CG_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_STABILITY] (​),[FlightDataType.FlightDataType.TYPE_DRAG_COEFF] (​),[FlightDataType.FlightDataType.TYPE_THRUST_FORCE] (N),[FlightDataType.FlightDataType.TYPE_AIR_DENSITY] (kg/m³),[FlightDataType.FlightDataType.TYPE_WIND_VELOCITY] (m/s),[FlightDataType.FlightDataType.TYPE_TIME_STEP] (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0.014689081,1.570796327,0,0,2.578407473,NaN,1.044454726,NaN,1.411274723,0,1.224999463,5,0.002
0.002,0,0,0,0,0,0,0.014689081,1.570796327,0,0,2.578194654,NaN,1.044399963,NaN,1.411274723,11.696636364,1.224999463,5,0.002
0.004,0,0,0,0,0,0,0.014689081,1.570796327,0,0,2.577981834,NaN,1.044345191,NaN,1.411274723,23.393272727,1.224999463,5,0.002
0.006,0.000002068,0,-0.00000037,0.00000037,0.003373448,3.830396384,0.014687725,1.570127946,0,0,2.577769015,NaN,1.044290409,NaN,1.411292523,35.089909091,1.224999463,5,0.002
0.008,0.000019418,0,-0.00000185,0.00000185,0.015554447,8.363937893,0.014686163,1.567691477,0,0,2.577556196,NaN,1.044235617,NaN,1.411313048,46.786545455,1.224999461,5,0.002
0.01,0.000070205,0,-0.000004439,0.000004439,0.036813025,12.902069714,0.014684859,1.563438258,0,0,2.577343376,NaN,1.044180815,NaN,1.411330167,58.483181818,1.224999455,5,0.002
0.012,0.000172589,0,-0.000008138,0.000008138,0.067151682,17.441794692,0.014684156,1.557367823,0,0,2.577130557,NaN,1.044126004,NaN,1.411339407,70.179818182,1.224999444,5,0.002
0.014,0.000344732,0,-0.000012947,0.000012947,0.10657204,21.982590563,0.014684539,1.549480463,0,0,2.576917738,NaN,1.044071183,NaN,1.411334387,81.876454545,1.224999424,5,0.002
0.016,0.000604798,0,-0.000018865,0.000018865,0.155075629,26.524292412,0.014686637,1.539777824,0,0,2.576704919,NaN,1.044016352,NaN,1.41130682,93.573090909,1.224999394,5,0.002
0.018,0.000970956,0,-0.000025893,0.000025893,0.212663962,31.066831313,0.014691228,1.528263689,0,0,2.576492099,NaN,1.043961511,NaN,1.411246537,105.269727273,1.224999353,5,0.002
0.02,0.001461376,0,-0.000034031,0.000034031,0.279338541,35.610172784,0.01469923,1.514944922,0,0,2.57627928,NaN,1.043906661,NaN,1.411141521,116.966363636,1.224999297,5,0.002
