generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,fb19d5d5,true,0,0,8,6264076,453907,4429268,0
0,1,e75c07b4,true,0,0,8,5986911,447702,4705194,0
0,2,9654b3d2,true,0,0,8,5960561,448339,4731369,0
0,3,e605efc2,true,0,0,8,5958958,455495,4732975,0
0,4,044119ff,true,0,0,8,5952024,453703,4739859,0
0,5,fb95527d,false,0,1,1,5851022,0,4762454,0
0,6,45b395f5,false,0,1,1,5845759,0,4767787,0
0,7,32fb11ad,true,0,0,8,5916353,413684,4774819,0
0,8,49990447,true,0,0,8,5893577,365609,4797451,0
0,9,38407cd5,true,0,0,8,5867005,367861,4823866,0
0,10,93105079,true,0,0,8,5861485,366817,4829347,0
0,11,46c42e79,true,0,0,8,6279967,444255,4413323,0
0,12,9138d378,true,0,0,8,6253391,438926,4439849,0
0,13,2d9b1186,true,0,0,8,6247775,440262,4445441,0
0,14,813d1841,true,0,0,8,6298202,458437,4395132,0
0,15,ce8e1200,true,0,0,8,6275537,459006,4417838,0
0,16,ffc85bb8,true,0,0,8,6270411,461473,4422950,0
0,17,add23ff1,true,0,0,8,6242450,459882,4450842,0
0,18,7254fb27,true,0,0,8,6240673,462223,4452613,0
0,19,20788778,true,0,0,8,6212578,461501,4480597,0
0,20,c530fae6,true,0,0,8,6207271,464577,4485876,0
0,21,3a19cfa0,true,0,0,8,6205452,463370,4487684,0
0,22,84eac1db,true,0,0,8,6177174,464452,4515816,0
0,23,8a04bbe2,true,0,0,8,6171862,465787,4521205,0
0,24,397e58e0,true,0,0,8,6148929,462606,4544021,0
0,25,1af76a5d,true,0,0,8,6143441,377197,4549466,0
0,26,f994a475,true,0,0,8,6137927,381484,4554947,0
0,27,042df629,true,0,0,8,6114937,386894,4577799,0
0,28,5c06ce68,true,0,0,8,6107559,394780,4585237,0
0,29,5b779e2a,true,0,0,8,6084520,389768,4608109,0
0,30,c59428b4,true,0,0,8,6078863,397360,4613719,0
0,31,6665a83c,true,0,0,8,6050155,397451,4642275,0
0,32,0161f884,true,0,0,8,6044403,395172,4647978,0
0,33,27477e81,true,0,0,8,6042432,403845,4649934,0
0,34,8d8bac25,true,0,0,8,6015497,400067,4676663,0
0,35,4b34b9d8,true,0,0,8,6013567,405266,4678638,0
0,36,f0f362f9,true,0,0,8,5984579,406278,4707415,0
0,37,c9188a3a,true,0,0,8,5982566,408102,4709409,0
0,38,37c96f4f,true,0,0,8,5976635,406708,4715296,0
0,39,0c45fa31,true,0,0,8,5949567,407939,4742191,0
0,40,4886c40e,true,0,0,8,5945471,409119,4746251,0
0,41,f7181763,true,0,0,8,5918329,410028,4773220,0
0,42,e9c850ac,true,0,0,8,5914226,411841,4777317,0
0,43,a5bfe548,true,0,0,8,5910211,417234,4781322,0
0,44,d3f6c059,true,0,0,8,5880896,411776,4810469,0
0,45,94b5b37f,true,0,0,8,5939653,427923,4752076,0
0,46,d8ff2174,true,0,0,8,5914996,426457,4776572,0
0,47,c1e55de5,true,0,0,8,5909350,424235,4782219,0
1,0,430a0f7a,true,0,0,8,6290993,478652,4402767,0
1,1,e75c07b4,true,0,0,8,5986911,447702,4705194,0
1,2,9654b3d2,true,0,0,8,5960561,448339,4731369,0
1,3,e605efc2,true,0,0,8,5958958,455495,4732975,0
1,4,044119ff,true,0,0,8,5952024,453703,4739859,0
1,5,cec8278f,true,0,0,8,5911393,419686,4780245,0
1,6,cec8278f,true,0,0,8,5911393,419686,4780245,0
1,7,32fb11ad,true,0,0,8,5916353,413684,4774819,0
1,8,49990447,true,0,0,8,5893577,365609,4797451,0
1,9,f0e6cd81,true,0,0,8,5869213,413145,4822187,0
1,10,f0e6cd81,true,0,0,8,5869213,413145,4822187,0
1,11,430a0f7a,true,0,0,8,6290993,478652,4402767,0
1,12,56021f6f,true,0,0,8,6269998,476277,4423738,0
1,13,56021f6f,true,0,0,8,6269998,476277,4423738,0
1,14,813d1841,true,0,0,8,6298202,458437,4395132,0
1,15,ce8e1200,true,0,0,8,6275537,459006,4417838,0
1,16,ffc85bb8,true,0,0,8,6270411,461473,4422950,0
1,17,add23ff1,true,0,0,8,6242450,459882,4450842,0
1,18,7254fb27,true,0,0,8,6240673,462223,4452613,0
1,19,20788778,true,0,0,8,6212578,461501,4480597,0
1,20,c530fae6,true,0,0,8,6207271,464577,4485876,0
1,21,ea4cf700,true,0,0,8,6206940,464905,4486651,0
1,22,2674d05f,true,0,0,8,6185871,460700,4507622,0
1,23,5cdeb044,true,0,0,8,6187562,461108,4505942,0
1,24,29f7ff6a,true,0,0,8,6164796,458316,4528593,0
1,25,29f7ff6a,true,0,0,8,6164796,458316,4528593,0
1,26,29f7ff6a,true,0,0,8,6164796,458316,4528593,0
1,27,f6e804be,true,0,0,8,6143702,454085,4549564,0
1,28,f6e804be,true,0,0,8,6143702,454085,4549564,0
1,29,28fb93ea,true,0,0,8,6122610,455087,4570535,0
1,30,28fb93ea,true,0,0,8,6122610,455087,4570535,0
1,31,74edae12,true,0,0,8,6101498,452008,4591506,0
1,32,bb8adf11,true,0,0,8,6099807,441963,4593185,0
1,33,74edae12,true,0,0,8,6101498,452008,4591506,0
1,34,6bfadb15,true,0,0,8,6080367,447501,4612477,0
1,35,6bfadb15,true,0,0,8,6080367,447501,4612477,0
1,36,67e82443,true,0,0,8,6059248,443519,4633448,0
1,37,67e82443,true,0,0,8,6059248,443519,4633448,0
1,38,67e82443,true,0,0,8,6059248,443519,4633448,0
1,39,561165f0,true,0,0,8,5966041,427174,4725950,0
1,40,74fc857f,true,0,0,8,6038117,439894,4654419,0
1,41,46731dbb,true,0,0,8,5941127,422833,4750686,0
1,42,46731dbb,true,0,0,8,5941127,422833,4750686,0
1,43,4cdca64e,true,0,0,8,6016990,438322,4675390,0
1,44,11b27496,true,0,0,8,5995857,434355,4696361,0
1,45,94b5b37f,true,0,0,8,5939653,427923,4752076,0
1,46,53daf824,true,0,0,8,5974732,430272,4717332,0
1,47,c1e55de5,true,0,0,8,5909350,424235,4782219,0
2,0,430a0f7a,true,0,0,8,6290993,478652,4402767,0
2,1,e75c07b4,true,0,0,8,5986911,447702,4705194,0
2,2,9654b3d2,true,0,0,8,5960561,448339,4731369,0
2,3,e605efc2,true,0,0,8,5958958,455495,4732975,0
2,4,044119ff,true,0,0,8,5952024,453703,4739859,0
2,5,cec8278f,true,0,0,8,5911393,419686,4780245,0
2,6,cec8278f,true,0,0,8,5911393,419686,4780245,0
2,7,32fb11ad,true,0,0,8,5916353,413684,4774819,0
2,8,49990447,true,0,0,8,5893577,365609,4797451,0
2,9,f0e6cd81,true,0,0,8,5869213,413145,4822187,0
2,10,f0e6cd81,true,0,0,8,5869213,413145,4822187,0
2,11,430a0f7a,true,0,0,8,6290993,478652,4402767,0
2,12,56021f6f,true,0,0,8,6269998,476277,4423738,0
2,13,56021f6f,true,0,0,8,6269998,476277,4423738,0
2,14,813d1841,true,0,0,8,6298202,458437,4395132,0
2,15,ce8e1200,true,0,0,8,6275537,459006,4417838,0
2,16,ffc85bb8,true,0,0,8,6270411,461473,4422950,0
2,17,add23ff1,true,0,0,8,6242450,459882,4450842,0
