generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,ff8d9350,true,0,0,8,6264076,453907,4429268,0
0,1,e3c84131,true,0,0,8,5986911,447702,4705194,0
0,2,92c0f557,true,0,0,8,5960561,448339,4731369,0
0,3,e291a947,true,0,0,8,5958958,455495,4732975,0
0,4,00d55f7a,true,0,0,8,5952024,453703,4739859,0
0,5,ff0114f8,false,0,1,1,5851022,0,4762454,0
0,6,4127d370,false,0,1,1,5845759,0,4767787,0
0,7,366f5728,true,0,0,8,5916353,413684,4774819,0
0,8,4d0d42c2,true,0,0,8,5893577,365609,4797451,0
0,9,3cd43a50,true,0,0,8,5867005,367861,4823866,0
0,10,978416fc,true,0,0,8,5861485,366817,4829347,0
0,11,425068fc,true,0,0,8,6279967,444255,4413323,0
0,12,95ac95fd,true,0,0,8,6253391,438926,4439849,0
0,13,290f5703,true,0,0,8,6247775,440262,4445441,0
0,14,85a95ec4,true,0,0,8,6298202,458437,4395132,0
0,15,ca1a5485,true,0,0,8,6275537,459006,4417838,0
0,16,fb5c1d3d,true,0,0,8,6270411,461473,4422950,0
0,17,a9467974,true,0,0,8,6242450,459882,4450842,0
0,18,76c0bda2,true,0,0,8,6240673,462223,4452613,0
0,19,24ecc1fd,true,0,0,8,6212578,461501,4480597,0
0,20,c1a4bc63,true,0,0,8,6207271,464577,4485876,0
0,21,3e8d8925,true,0,0,8,6205452,463370,4487684,0
0,22,807e875e,true,0,0,8,6177174,464452,4515816,0
0,23,8e90fd67,true,0,0,8,6171862,465787,4521205,0
0,24,3dea1e65,true,0,0,8,6148929,462606,4544021,0
0,25,1e632cd8,true,0,0,8,6143441,377197,4549466,0
0,26,fd00e2f0,true,0,0,8,6137927,381484,4554947,0
0,27,00b9b0ac,true,0,0,8,6114937,386894,4577799,0
0,28,589288ed,true,0,0,8,6107559,394780,4585237,0
0,29,5fe3d8af,true,0,0,8,6084520,389768,4608109,0
0,30,c1006e31,true,0,0,8,6078863,397360,4613719,0
0,31,62f1eeb9,true,0,0,8,6050155,397451,4642275,0
0,32,05f5be01,true,0,0,8,6044403,395172,4647978,0
0,33,23d33804,true,0,0,8,6042432,403845,4649934,0
0,34,891feaa0,true,0,0,8,6015497,400067,4676663,0
0,35,4fa0ff5d,true,0,0,8,6013567,405266,4678638,0
0,36,f467247c,true,0,0,8,5984579,406278,4707415,0
0,37,cd8cccbf,true,0,0,8,5982566,408102,4709409,0
0,38,335d29ca,true,0,0,8,5976635,406708,4715296,0
0,39,08d1bcb4,true,0,0,8,5949567,407939,4742191,0
0,40,4c12828b,true,0,0,8,5945471,409119,4746251,0
0,41,f38c51e6,true,0,0,8,5918329,410028,4773220,0
0,42,ed5c1629,true,0,0,8,5914226,411841,4777317,0
0,43,a12ba3cd,true,0,0,8,5910211,417234,4781322,0
0,44,d76286dc,true,0,0,8,5880896,411776,4810469,0
0,45,9021f5fa,true,0,0,8,5939653,427923,4752076,0
0,46,dc6b67f1,true,0,0,8,5914996,426457,4776572,0
0,47,c5711b60,true,0,0,8,5909350,424235,4782219,0
1,0,4d0d42c2,true,0,0,8,5893577,365609,4797451,0
1,1,85a95ec4,true,0,0,8,6298202,458437,4395132,0
1,2,1e632cd8,true,0,0,8,6143441,377197,4549466,0
1,3,95ac95fd,true,0,0,8,6253391,438926,4439849,0
1,4,425068fc,true,0,0,8,6279967,444255,4413323,0
1,5,978416fc,true,0,0,8,5861485,366817,4829347,0
1,6,ca1a5485,true,0,0,8,6275537,459006,4417838,0
1,7,fd00e2f0,true,0,0,8,6137927,381484,4554947,0
1,8,3cd43a50,true,0,0,8,5867005,367861,4823866,0
