generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,fb62dd2f,false,0,1,1,2,4471209,0,0
0,1,0db6bd42,false,0,1,1,2,4471209,0,0
0,2,724d8dfd,false,0,1,1,2,4471209,0,0
0,3,b2402b0b,false,0,1,1,2,4471209,0,0
0,4,44944b66,false,0,1,1,2,4471209,0,0
0,5,a92a9791,false,0,1,1,2,4471209,0,0
0,6,69273167,false,0,1,1,2,4471209,0,0
0,7,7b6f8cee,true,0,0,8,1339,4471209,0,0
0,8,e00861b5,true,0,0,8,1287,4471209,0,0
0,9,2005c743,true,0,0,8,1297,4471209,0,0
0,10,324d7aca,true,0,0,8,1316,4471209,0,0
0,11,c495a508,true,0,0,8,1137,4471209,0,0
0,12,049803fe,true,0,0,8,1133,4471209,1,0
0,13,16d0be77,true,0,0,8,1119,4471209,2,0
0,14,8db7532c,true,0,0,8,1115,4471209,3,0
0,15,9fffeea5,true,0,0,8,1135,4471209,6,0
0,16,5ff24853,true,0,0,8,2011,4471209,8,0
0,17,ef732755,false,0,1,1,2,4471209,0,0
0,18,19a74738,false,0,1,1,2,4471209,0,0
0,19,665c7787,false,0,1,1,2,4471209,0,0
0,20,a651d171,false,0,1,1,2,4471209,0,0
0,21,5085b11c,false,0,1,1,2,4471209,0,0
0,22,bd3b6deb,false,0,1,1,2,4471209,0,0
0,23,7d36cb1d,true,0,0,8,1252,4471209,0,0
0,24,6f7e7694,true,0,0,8,1222,4471209,0,0
0,25,f4199bcf,true,0,0,8,1194,4471209,0,0
0,26,34143d39,true,0,0,8,1230,4471209,0,0
0,27,265c80b0,true,0,0,8,1193,4471209,0,0
0,28,d0845f72,true,0,0,8,1115,4471209,0,0
0,29,1089f984,true,0,0,8,1111,4471209,1,0
0,30,02c1440d,true,0,0,8,1102,4471209,2,0
0,31,99a6a956,true,0,0,8,1095,4471209,4,0
0,32,8bee14df,true,0,0,8,1441,4471209,6,0
0,33,4be3b229,true,0,0,8,1854,4471209,7,0
0,34,354c7c85,false,0,1,1,2,4471209,0,0
0,35,c3981ce8,false,0,1,1,2,4471209,0,0
0,36,bc632c57,false,0,1,1,2,4471209,0,0
0,37,7c6e8aa1,false,0,1,1,2,4471209,0,0
0,38,8abaeacc,false,0,1,1,2,4471209,0,0
0,39,6704363b,false,0,1,1,2,4471209,0,0
0,40,a70990cd,true,0,0,8,1108,4471209,0,0
0,41,b5412d44,true,0,0,8,1103,4471209,0,0
0,42,2e26c01f,true,0,0,8,1093,4471209,0,0
0,43,ee2b66e9,true,0,0,8,1087,4471209,0,0
0,44,fc63db60,true,0,0,8,1084,4471209,0,0
0,45,0abb04a2,true,0,0,8,1075,4471209,0,0
