generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,d658ce67,true,0,0,8,1000,4471209,0,0
0,1,5528b356,false,0,1,1,2,4567671,0,0
0,2,4cabcfc5,false,0,1,1,2,4571865,0,0
0,3,ba7fafa8,false,0,1,1,2,4571865,0,0
0,4,6354c682,false,0,1,1,2,4580253,0,0
0,5,5db9cca3,false,0,1,1,2,4580253,0,0
0,6,045e55cc,false,0,1,1,2,4584447,0,0
0,7,8317b4b5,false,0,1,1,2,4584447,0,0
0,8,06e232a3,false,0,1,1,2,4588641,0,0
0,9,7b63fe80,false,0,1,1,2,4592835,0,0
0,10,50196693,false,0,1,1,2,4597029,0,0
0,11,edb9ecd5,false,0,1,1,2,4450239,0,0
0,12,43d4df56,false,0,1,1,2,4454433,0,0
0,13,25f61328,false,0,1,1,2,4458627,0,0
0,14,646976b0,false,0,1,1,2,4458627,0,0
0,15,4642568f,false,0,1,1,2,4467015,0,0
0,16,349c0fef,false,0,1,1,2,4467015,0,0
0,17,d8dbb95b,false,0,1,1,2,4467015,0,0
0,18,c869fec6,false,0,1,1,2,4471209,0,0
0,19,418902b0,false,0,1,1,2,4475403,0,0
0,20,c380615f,false,0,1,1,2,4479597,0,0
0,21,43f298fd,false,0,1,1,2,4483791,0,0
0,22,79680aee,false,0,1,1,2,4487985,0,0
0,23,2e21b509,false,0,1,1,2,4487985,0,0
0,24,48037977,false,0,1,1,2,4492179,0,0
0,25,d92291fc,false,0,1,1,2,4496373,0,0
0,26,7bfbe7da,false,0,1,1,2,4496373,0,0
0,27,829c08ce,false,0,1,1,2,4500567,0,0
0,28,f1ac3e65,true,0,0,8,951,4504761,15,0
0,29,4b499421,true,0,0,8,950,4508955,16,0
0,30,eefc9a46,true,0,0,8,950,4508955,16,0
0,31,08462d25,false,0,1,1,2,4513149,0,0
0,32,f1a26996,true,0,0,8,907,4517343,0,0
0,33,077609fb,true,0,0,8,906,4517343,0,0
0,34,ebb79275,true,0,0,8,900,4521537,0,0
0,35,ad6569a9,true,0,0,8,901,4525731,0,0
0,36,98d61962,false,0,1,1,2,4529925,0,0
0,37,ae81f7b1,false,0,1,1,2,4529925,0,0
0,38,7ba9171d,false,0,1,1,2,4534119,0,0
0,39,ae9722b5,true,0,0,8,890,4538313,0,0
0,40,5888e555,true,0,0,8,890,4538313,0,0
0,41,a71d7d04,false,0,1,1,2,4542507,0,0
0,42,63020669,false,0,1,1,2,4546701,0,0
0,43,d9e7ac2d,false,0,1,1,2,4550895,0,0
0,44,2c20172c,false,0,1,1,2,4550895,0,0
0,45,e835e5e6,false,0,1,1,2,4555089,0,0
0,46,3fb1291e,false,0,1,1,2,4559283,0,0
0,47,798b38e5,false,0,1,1,2,4559283,0,0
1,0,077609fb,true,0,0,8,906,4517343,0,0
1,1,5888e555,true,0,0,8,890,4538313,0,0
1,2,d658ce67,true,0,0,8,1000,4471209,0,0
1,3,e12461cf,true,0,0,8,888,4492179,9,0
1,4,ebb79275,true,0,0,8,900,4521537,0,0
1,5,ad6569a9,true,0,0,8,901,4525731,0,0
1,6,ae9722b5,true,0,0,8,890,4538313,0,0
1,7,dd8714ed,true,0,0,8,903,4492179,9,0
1,8,f1a26996,true,0,0,8,907,4517343,0,0
1,9,51f3371b,true,0,0,8,933,4492179,9,0
1,10,4b499421,true,0,0,8,950,4508955,16,0
1,11,b0417f7f,true,0,0,8,975,4492179,9,0
1,12,f5359bb5,true,0,0,8,967,4492179,11,0
1,13,f1ac3e65,true,0,0,8,951,4504761,15,0
1,14,c19a6310,true,0,0,8,990,4492179,9,0
1,15,eefc9a46,true,0,0,8,950,4508955,16,0
1,16,c907953b,true,0,0,8,1041,4492179,10,0
1,17,79d0c3ef,true,0,0,8,1083,4492179,10,0
1,18,73d83ed2,true,0,0,8,1147,4492179,10,0
1,19,045e55cc,false,0,1,1,2,4584447,0,0
1,20,50196693,false,0,1,1,2,4597029,0,0
1,21,edb9ecd5,false,0,1,1,2,4450239,0,0
1,22,08462d25,false,0,1,1,2,4513149,0,0
1,23,829c08ce,false,0,1,1,2,4500567,0,0
1,24,98d61962,false,0,1,1,2,4529925,0,0
1,25,5528b356,false,0,1,1,2,4567671,0,0
1,26,7ba9171d,false,0,1,1,2,4534119,0,0
1,27,a71d7d04,false,0,1,1,2,4542507,0,0
1,28,06e232a3,false,0,1,1,2,4588641,0,0
1,29,349c0fef,false,0,1,1,2,4467015,0,0
1,30,418902b0,false,0,1,1,2,4475403,0,0
1,31,43d4df56,false,0,1,1,2,4454433,0,0
1,32,43f298fd,false,0,1,1,2,4483791,0,0
1,33,48037977,false,0,1,1,2,4492179,0,0
1,34,5db9cca3,false,0,1,1,2,4580253,0,0
1,35,63020669,false,0,1,1,2,4546701,0,0
1,36,646976b0,false,0,1,1,2,4458627,0,0
1,37,798b38e5,false,0,1,1,2,4559283,0,0
1,38,7b63fe80,false,0,1,1,2,4592835,0,0
1,39,ba7fafa8,false,0,1,1,2,4571865,0,0
1,40,c380615f,false,0,1,1,2,4479597,0,0
1,41,c869fec6,false,0,1,1,2,4471209,0,0
1,42,e835e5e6,false,0,1,1,2,4555089,0,0
1,43,25f61328,false,0,1,1,2,4458627,0,0
1,44,2c20172c,false,0,1,1,2,4550895,0,0
1,45,2e21b509,false,0,1,1,2,4487985,0,0
1,46,3fb1291e,false,0,1,1,2,4559283,0,0
1,47,4cabcfc5,false,0,1,1,2,4571865,0,0
2,0,077609fb,true,0,0,8,906,4517343,0,0
2,1,5888e555,true,0,0,8,890,4538313,0,0
2,2,d658ce67,true,0,0,8,1000,4471209,0,0
2,3,e12461cf,true,0,0,8,888,4492179,9,0
2,4,ebb79275,true,0,0,8,900,4521537,0,0
2,5,ad6569a9,true,0,0,8,901,4525731,0,0
2,6,ae9722b5,true,0,0,8,890,4538313,0,0
2,7,dd8714ed,true,0,0,8,903,4492179,9,0
2,8,f1a26996,true,0,0,8,907,4517343,0,0
2,9,51f3371b,true,0,0,8,933,4492179,9,0
2,10,4b499421,true,0,0,8,950,4508955,16,0
2,11,b0417f7f,true,0,0,8,975,4492179,9,0
2,12,f5359bb5,true,0,0,8,967,4492179,11,0
2,13,f1ac3e65,true,0,0,8,951,4504761,15,0
2,14,c19a6310,true,0,0,8,990,4492179,9,0
2,15,eefc9a46,true,0,0,8,950,4508955,16,0
2,16,c907953b,true,0,0,8,1041,4492179,10,0
2,17,79d0c3ef,true,0,0,8,1083,4492179,10,0
2,18,73d83ed2,true,0,0,8,1147,4492179,10,0
2,19,045e55cc,false,0,1,1,2,4584447,0,0
2,20,50196693,false,0,1,1,2,4597029,0,0
2,21,edb9ecd5,false,0,1,1,2,4450239,0,0
2,22,f68c2dc3,false,0,1,1,2,4592835,0,0
2,23,08462d25,false,0,1,1,2,4513149,0,0
2,24,829c08ce,false,0,1,1,2,4500567,0,0
2,25,98d61962,false,0,1,1,2,4529925,0,0
2,26,349c0fef,false,0,1,1,2,4467015,0,0
2,27,48037977,false,0,1,1,2,4492179,0,0
2,28,5528b356,false,0,1,1,2,4567671,0,0
2,29,5db9cca3,false,0,1,1,2,4580253,0,0
2,30,7ba9171d,false,0,1,1,2,4534119,0,0
2,31,a71d7d04,false,0,1,1,2,4542507,0,0
2,32,06e232a3,false,0,1,1,2,4588641,0,0
2,33,2c20172c,false,0,1,1,2,4550895,0,0
2,34,2e21b509,false,0,1,1,2,4487985,0,0
2,35,418902b0,false,0,1,1,2,4475403,0,0
2,36,43d4df56,false,0,1,1,2,4454433,0,0
2,37,43f298fd,false,0,1,1,2,4483791,0,0
2,38,63020669,false,0,1,1,2,4546701,0,0
2,39,646976b0,false,0,1,1,2,4458627,0,0
2,40,798b38e5,false,0,1,1,2,4559283,0,0
2,41,ba7fafa8,false,0,1,1,2,4571865,0,0
2,42,c380615f,false,0,1,1,2,4479597,0,0
2,43,c869fec6,false,0,1,1,2,4471209,0,0
2,44,e835e5e6,false,0,1,1,2,4555089,0,0
2,45,25f61328,false,0,1,1,2,4458627,0,0
2,46,3fb1291e,false,0,1,1,2,4559283,0,0
2,47,4cabcfc5,false,0,1,1,2,4571865,0,0
3,0,0549a107,true,0,0,8,886,4529925,0,0
3,1,d658ce67,true,0,0,8,1000,4471209,0,0
3,2,e12461cf,true,0,0,8,888,4492179,9,0
3,3,077609fb,true,0,0,8,906,4517343,0,0
3,4,ebb79275,true,0,0,8,900,4521537,0,0
3,5,5888e555,true,0,0,8,890,4538313,0,0
3,6,dd8714ed,true,0,0,8,903,4492179,9,0
3,7,f1a26996,true,0,0,8,907,4517343,0,0
3,8,ad6569a9,true,0,0,8,901,4525731,0,0
3,9,7492bd68,true,0,0,8,891,4529925,0,0
3,10,51f3371b,true,0,0,8,933,4492179,9,0
3,11,7c0f4b43,true,0,0,8,898,4529925,0,0
3,12,ae9722b5,true,0,0,8,890,4538313,0,0
3,13,4b499421,true,0,0,8,950,4508955,16,0
3,14,b0417f7f,true,0,0,8,975,4492179,9,0
3,15,ccd81d97,true,0,0,8,900,4529925,0,0
3,16,f5359bb5,true,0,0,8,967,4492179,11,0
3,17,f1ac3e65,true,0,0,8,951,4504761,15,0
3,18,c19a6310,true,0,0,8,990,4492179,9,0
3,19,c6d0e0aa,true,0,0,8,903,4529925,0,0
3,20,eefc9a46,true,0,0,8,950,4508955,16,0
3,21,5cb1499c,true,0,0,8,912,4529925,0,0
3,22,c907953b,true,0,0,8,1041,4492179,10,0
3,23,60123cbe,true,0,0,8,912,4529925,0,0
3,24,79d0c3ef,true,0,0,8,1083,4492179,10,0
3,25,73d83ed2,true,0,0,8,1147,4492179,10,0
3,26,d0c56a6a,true,0,0,8,923,4529925,0,0
3,27,045e55cc,false,0,1,1,2,4584447,0,0
3,28,50196693,false,0,1,1,2,4597029,0,0
3,29,edb9ecd5,false,0,1,1,2,4450239,0,0
3,30,f8ba4ffb,false,0,1,1,2,4529925,0,0
3,31,08462d25,false,0,1,1,2,4513149,0,0
3,32,829c08ce,false,0,1,1,2,4500567,0,0
3,33,4265e412,false,0,1,1,2,4529925,0,0
3,34,349c0fef,false,0,1,1,2,4467015,0,0
3,35,48037977,false,0,1,1,2,4492179,0,0
3,36,5528b356,false,0,1,1,2,4567671,0,0
3,37,5db9cca3,false,0,1,1,2,4580253,0,0
3,38,7ba9171d,false,0,1,1,2,4534119,0,0
3,39,a71d7d04,false,0,1,1,2,4542507,0,0
3,40,06e232a3,false,0,1,1,2,4588641,0,0
3,41,2c20172c,false,0,1,1,2,4550895,0,0
3,42,2e21b509,false,0,1,1,2,4487985,0,0
3,43,418902b0,false,0,1,1,2,4475403,0,0
3,44,43d4df56,false,0,1,1,2,4454433,0,0
3,45,43f298fd,false,0,1,1,2,4483791,0,0
3,46,63020669,false,0,1,1,2,4546701,0,0
3,47,646976b0,false,0,1,1,2,4458627,0,0
4,0,0549a107,true,0,0,8,886,4529925,0,0
4,1,d658ce67,true,0,0,8,1000,4471209,0,0
4,2,e12461cf,true,0,0,8,888,4492179,9,0
4,3,077609fb,true,0,0,8,906,4517343,0,0
4,4,ebb79275,true,0,0,8,900,4521537,0,0
4,5,5888e555,true,0,0,8,890,4538313,0,0
4,6,dd8714ed,true,0,0,8,903,4492179,9,0
4,7,f1a26996,true,0,0,8,907,4517343,0,0
4,8,ad6569a9,true,0,0,8,901,4525731,0,0
4,9,7492bd68,true,0,0,8,891,4529925,0,0
4,10,51f3371b,true,0,0,8,933,4492179,9,0
4,11,7c0f4b43,true,0,0,8,898,4529925,0,0
4,12,ae9722b5,true,0,0,8,890,4538313,0,0
4,13,d6d72f4f,true,0,0,8,932,4521537,12,0
4,14,4b499421,true,0,0,8,950,4508955,16,0
4,15,b0417f7f,true,0,0,8,975,4492179,9,0
4,16,ccd81d97,true,0,0,8,900,4529925,0,0
4,17,a70c3320,true,0,0,8,943,4521537,12,0
4,18,f1ac3e65,true,0,0,8,951,4504761,15,0
4,19,f5359bb5,true,0,0,8,967,4492179,11,0
4,20,af91c50b,true,0,0,8,959,4521537,11,0
4,21,c19a6310,true,0,0,8,990,4492179,9,0
4,22,c6d0e0aa,true,0,0,8,903,4529925,0,0
4,23,eefc9a46,true,0,0,8,950,4508955,16,0
4,24,1f4693df,true,0,0,8,970,4521537,11,0
4,25,b38cb2f6,true,0,0,8,959,4521537,12,0
4,26,154e6ee2,true,0,0,8,980,4521537,12,0
4,27,5cb1499c,true,0,0,8,912,4529925,0,0
4,28,c907953b,true,0,0,8,1041,4492179,10,0
4,29,60123cbe,true,0,0,8,912,4529925,0,0
4,30,79d0c3ef,true,0,0,8,1083,4492179,10,0
4,31,8f2fc7d4,true,0,0,8,985,4521537,12,0
4,32,035be422,true,0,0,8,1039,4521537,12,0
4,33,73d83ed2,true,0,0,8,1147,4492179,10,0
4,34,d0c56a6a,true,0,0,8,923,4529925,0,0
4,35,503a8a28,true,0,0,8,1113,4521537,11,0
4,36,045e55cc,false,0,1,1,2,4584447,0,0
4,37,50196693,false,0,1,1,2,4597029,0,0
4,38,edb9ecd5,false,0,1,1,2,4450239,0,0
4,39,f8ba4ffb,false,0,1,1,2,4529925,0,0
4,40,08462d25,false,0,1,1,2,4513149,0,0
4,41,5528b356,false,0,1,1,2,4567671,0,0
4,42,2c20172c,false,0,1,1,2,4550895,0,0
4,43,829c08ce,false,0,1,1,2,4500567,0,0
4,44,349c0fef,false,0,1,1,2,4467015,0,0
4,45,418902b0,false,0,1,1,2,4475403,0,0
4,46,4265e412,false,0,1,1,2,4529925,0,0
4,47,5db9cca3,false,0,1,1,2,4580253,0,0
5,0,0549a107,true,0,0,8,886,4529925,0,0
5,1,af128e1a,true,0,0,8,873,4517343,12,0
5,2,d658ce67,true,0,0,8,1000,4471209,0,0
5,3,e12461cf,true,0,0,8,888,4492179,9,0
5,4,077609fb,true,0,0,8,906,4517343,0,0
5,5,ebb79275,true,0,0,8,900,4521537,0,0
5,6,17582ee5,true,0,0,8,878,4517343,11,0
5,7,1d50d3d8,true,0,0,8,883,4517343,10,0
5,8,5888e555,true,0,0,8,890,4538313,0,0
5,9,a78f7831,true,0,0,8,875,4517343,12,0
5,10,dd8714ed,true,0,0,8,903,4492179,9,0
5,11,f1a26996,true,0,0,8,907,4517343,0,0
