generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,83355209,true,0,0,8,6223443,4471209,722015,1000
0,1,9c025d91,false,0,1,1,5916082,4696632,0,2
0,2,0e6c940c,false,0,1,1,5889584,4723418,0,1
0,3,abe8cf5b,false,0,1,1,5877007,4736144,0,1
0,4,a1afaebe,false,0,1,1,5846870,4766637,0,1
0,5,72739c5a,false,0,2,1,5831670,4782067,0,2
0,6,e88828a9,false,0,2,1,5803918,4810155,0,3
0,7,06b17a88,false,0,1,1,5771963,4842511,0,2
0,8,0f7eb043,false,0,1,1,5739971,4874942,0,3
0,9,68006dba,false,0,1,1,5724488,4890670,0,2
0,10,43e12bb8,false,0,1,1,5696545,4919056,0,3
0,11,f65ed277,false,0,1,1,6095181,4515512,0,3
0,12,363bd66c,false,0,1,1,6062864,4548241,0,2
0,13,7a8cfdf4,false,0,1,1,6086365,4524447,0,2
0,14,513d129c,false,0,1,1,6081133,4529738,0,2
0,15,f7edb319,false,0,1,1,6046589,4564630,0,2
0,16,fe2cfc2c,false,0,1,1,6037118,4574208,0,2
0,17,972db26a,true,0,0,8,6087064,4606676,724215,906
0,18,708dbe55,true,0,0,8,6048095,4645313,724326,913
0,19,32f38a82,true,0,0,8,6042305,4650864,721623,910
0,20,4369ed71,true,0,0,8,6005645,4687749,644237,1304
0,21,711ebd68,true,0,0,8,5971556,4720516,651399,1378
0,22,3135a6d5,true,0,0,8,5961343,4730410,658776,1326
0,23,25658aab,true,0,0,8,5925929,4765300,661265,1322
0,24,e54437af,true,0,0,8,5896540,4794096,619541,1243
0,25,f685cb7d,true,0,0,8,5881596,4808352,618728,1184
0,26,5770c930,true,0,0,8,5848179,4841472,628978,1160
0,27,f3c05215,true,0,0,8,5812416,4876793,654149,1077
0,28,be42f868,true,0,0,8,5803800,4884878,668825,999
0,29,63eef8ba,true,0,0,8,5765239,4922414,682028,993
0,30,f9480bd6,true,0,0,8,5822753,4863452,688625,985
0,31,adf7f971,true,0,0,8,5925927,4759379,712127,1314
1,0,4369ed71,true,0,0,8,6005645,4687749,644237,1304
1,1,63eef8ba,true,0,0,8,5765239,4922414,682028,993
1,2,83355209,true,0,0,8,6223443,4471209,722015,1000
