generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,a261ad50,true,0,0,8,6264076,4429268,0,0
0,1,f158116b,true,0,0,8,5850203,4346636,0,0
0,2,94ef98a9,true,0,0,8,5744032,4476306,0,0
0,3,6657a99d,true,0,0,8,5401421,4632163,0,0
0,4,7d34aa62,true,0,0,8,5045111,4848376,0,0
0,5,9d60a63a,true,0,0,8,4989215,4928229,0,0
0,6,5702f1fe,true,0,0,8,4629699,5205018,0,0
0,7,1f06b70c,true,0,0,8,4317373,5459633,0,0
0,8,aef7d241,true,0,0,8,4280932,5520419,0,0
0,9,300bce85,true,0,0,8,4535008,4789582,0,0
0,10,3bc3518d,true,0,0,8,4429592,4989347,0,0
0,11,8bc6f344,true,0,0,8,4257417,5011103,0,0
0,12,9bd522f0,true,0,0,8,4181844,5164742,0,0
0,13,0f9901f9,true,0,0,8,3994970,5249308,0,0
0,14,a7667248,true,0,0,8,3785814,5412631,0,0
0,15,39828b72,true,0,0,8,11726919,3382828,0,0
0,16,2ab3a2aa,true,0,0,8,10599663,3629035,0,0
0,17,d273b177,true,0,0,8,10328534,3736114,0,0
0,18,0bca2296,true,0,0,8,9532284,3904957,0,0
0,19,a295a401,true,0,0,8,8699227,4133842,0,0
0,20,ab0dc1cc,true,0,0,8,8406959,4282116,0,0
0,21,3b0750a6,true,0,0,8,7856047,4424785,0,0
0,22,7664bbd7,true,0,0,8,7130119,4710357,0,0
0,23,68255ddb,true,0,0,8,6861253,4885513,0,0
0,24,29d0e5ec,true,0,0,8,6440762,5034624,0,0
0,25,51f91fb7,true,0,0,8,6203250,5210057,0,0
0,26,818d7060,true,0,0,8,5654465,5513637,0,0
0,27,bd305781,true,0,0,8,5329952,5668312,0,0
0,28,d22c046b,true,0,0,8,5491526,5520721,0,0
0,29,89ec8f48,true,0,0,8,5190987,5662942,0,0
0,30,490e108b,true,0,0,8,4753333,5979555,0,0
0,31,e7bff52f,true,0,0,8,4414898,6234801,0,0
1,0,39828b72,true,0,0,8,11726919,3382828,0,0
1,1,2ab3a2aa,true,0,0,8,10599663,3629035,0,0
1,2,d273b177,true,0,0,8,10328534,3736114,0,0
1,3,0bca2296,true,0,0,8,9532284,3904957,0,0
1,4,a2890975,true,0,0,8,8197714,4047161,0,0
1,5,a295a401,true,0,0,8,8699227,4133842,0,0
1,6,0f6c2214,true,0,0,8,8038026,4144213,0,0
1,7,ab0dc1cc,true,0,0,8,8406959,4282116,0,0
1,8,5c61d891,true,0,0,8,7879157,4241264,0,0
1,9,3b0750a6,true,0,0,8,7856047,4424785,0,0
1,10,ca9aa0dd,true,0,0,8,7721340,4338316,0,0
1,11,a21374f9,true,0,0,8,7564837,4435368,0,0
1,12,f158116b,true,0,0,8,5850203,4346636,0,0
1,13,a261ad50,true,0,0,8,6264076,4429268,0,0
1,14,7f1402c2,true,0,0,8,7409848,4532420,0,0
1,15,94ef98a9,true,0,0,8,5744032,4476306,0,0
1,16,6657a99d,true,0,0,8,5401421,4632163,0,0
1,17,7664bbd7,true,0,0,8,7130119,4710357,0,0
1,18,300bce85,true,0,0,8,4535008,4789582,0,0
1,19,68255ddb,true,0,0,8,6861253,4885513,0,0
1,20,7d34aa62,true,0,0,8,5045111,4848376,0,0
1,21,29d0e5ec,true,0,0,8,6440762,5034624,0,0
1,22,9d60a63a,true,0,0,8,4989215,4928229,0,0
1,23,3bc3518d,true,0,0,8,4429592,4989347,0,0
