generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,11397410,true,0,0,8,6264076,453907,4429268,0
0,1,7aae7dc1,true,0,0,8,5974092,356185,4717701,0
0,2,4c1967da,true,0,0,8,5848651,362695,4842506,0
0,3,a5b54436,true,0,0,8,6227458,449291,4466018,0
0,4,ba886ef0,true,0,0,8,6105957,439423,4587015,0
0,5,30ed4ed4,true,0,0,8,6140205,435109,4552578,0
0,6,d3558bc3,true,0,0,8,6090806,442270,4601693,0
0,7,39708406,true,0,0,8,6017350,450123,4674565,0
1,0,7aae7dc1,true,0,0,8,5974092,356185,4717701,0
1,1,c9e5bca8,true,0,0,8,6267867,464297,4425504,0
1,2,30ed4ed4,true,0,0,8,6140205,435109,4552578,0
1,3,a5b54436,true,0,0,8,6227458,449291,4466018,0
1,4,11397410,true,0,0,8,6264076,453907,4429268,0
1,5,a5fbed71,true,0,0,8,6264242,464131,4429121,0
1,6,4c1967da,true,0,0,8,5848651,362695,4842506,0
1,7,8db9b60b,true,0,0,8,6260621,462974,4432737,0
2,0,7aae7dc1,true,0,0,8,5974092,356185,4717701,0
2,1,c9e5bca8,true,0,0,8,6267867,464297,4425504,0
2,2,30ed4ed4,true,0,0,8,6140205,435109,4552578,0
2,3,1666cd28,true,0,0,8,6265924,447588,4427423,0
2,4,4c1967da,true,0,0,8,5848651,362695,4842506,0
2,5,a5fbed71,true,0,0,8,6264242,464131,4429121,0
2,6,a5b54436,true,0,0,8,6227458,449291,4466018,0
2,7,11397410,true,0,0,8,6264076,453907,4429268,0
3,0,7aae7dc1,true,0,0,8,5974092,356185,4717701,0
3,1,c9e5bca8,true,0,0,8,6267867,464297,4425504,0
3,2,30ed4ed4,true,0,0,8,6140205,435109,4552578,0
3,3,a86970c7,true,0,0,8,6014621,408790,4677457,0
3,4,1666cd28,true,0,0,8,6265924,447588,4427423,0
3,5,9dde1804,true,0,0,8,5988213,401966,4703681,0
3,6,8f1392c1,true,0,0,8,6003314,406062,4688696,0
3,7,2d74bfe6,true,0,0,8,5991980,403203,4699935,0
4,0,7aae7dc1,true,0,0,8,5974092,356185,4717701,0
4,1,c9e5bca8,true,0,0,8,6267867,464297,4425504,0
4,2,30ed4ed4,true,0,0,8,6140205,435109,4552578,0
4,3,a86970c7,true,0,0,8,6014621,408790,4677457,0
4,4,1666cd28,true,0,0,8,6265924,447588,4427423,0
4,5,9dde1804,true,0,0,8,5988213,401966,4703681,0
4,6,8f1392c1,true,0,0,8,6003314,406062,4688696,0
4,7,2d74bfe6,true,0,0,8,5991980,403203,4699935,0
