generation,index,candidate,feasible,fatal,violations,tier,objective0,objective1,objective2,objective3
0,0,623d6462,true,0,0,8,1000,4471209,0,0
0,1,63416b78,false,0,1,1,2,4563477,0,0
0,2,3e5b7f49,false,0,1,1,2,4592835,0,0
0,3,4d02c59d,false,0,1,1,2,4454433,0,0
0,4,a3e47154,true,0,0,8,945,4483791,2,0
0,5,c0d765b0,true,0,0,8,949,4487985,0,0
0,6,d9270f1c,true,0,0,8,1650,4513149,19,0
0,7,1ea6d134,false,0,1,1,2,4529925,0,0
1,0,a3e47154,true,0,0,8,945,4483791,2,0
1,1,c0d765b0,true,0,0,8,949,4487985,0,0
1,2,db3bd7aa,true,0,0,8,952,4471209,0,0
1,3,499b59d2,true,0,0,8,961,4471209,0,0
1,4,f981a5cf,true,0,0,8,961,4471209,0,0
1,5,f94c0f06,true,0,0,8,969,4471209,0,0
1,6,f344f23b,true,0,0,8,975,4471209,0,0
1,7,dbf67d63,true,0,0,8,987,4471209,0,0
2,0,a3e47154,true,0,0,8,945,4483791,2,0
2,1,c0d765b0,true,0,0,8,949,4487985,0,0
2,2,db3bd7aa,true,0,0,8,952,4471209,0,0
2,3,499b59d2,true,0,0,8,961,4471209,0,0
2,4,5c0b42b5,true,0,0,8,961,4471209,0,0
2,5,ec11bea8,true,0,0,8,961,4471209,0,0
2,6,f981a5cf,true,0,0,8,961,4471209,0,0
2,7,f94c0f06,true,0,0,8,969,4471209,0,0
3,0,797712ba,true,0,0,8,940,4483791,2,0
3,1,c0d765b0,true,0,0,8,949,4487985,0,0
3,2,db3bd7aa,true,0,0,8,952,4471209,0,0
3,3,499b59d2,true,0,0,8,961,4471209,0,0
3,4,a3e47154,true,0,0,8,945,4483791,2,0
3,5,9ac12a64,true,0,0,8,952,4483791,1,0
3,6,5c0b42b5,true,0,0,8,961,4471209,0,0
3,7,c9a0446e,true,0,0,8,952,4483791,1,0
4,0,2d3c998a,true,0,0,8,951,4483791,0,0
4,1,797712ba,true,0,0,8,940,4483791,2,0
4,2,c0d765b0,true,0,0,8,949,4487985,0,0
4,3,db3bd7aa,true,0,0,8,952,4471209,0,0
4,4,499b59d2,true,0,0,8,961,4471209,0,0
4,5,a3e47154,true,0,0,8,945,4483791,2,0
4,6,7e5df780,true,0,0,8,951,4483791,0,0
4,7,5c0b42b5,true,0,0,8,961,4471209,0,0
